Province,Date,Weather Code,Max Temp (°C),Min Temp (°C),Max Apparent Temp (°C),Min Apparent Temp (°C),Sunrise,Sunset,Daylight Duration (s),Sunshine Duration (s),UV Index Max,UV Index Clear Sky Max,Precipitation (mm),Rain (mm),Showers (mm),Snowfall (mm),Precipitation Hours,Precipitation Probability Max (%),Max Wind Speed (m/s),Max Wind Gusts (m/s),Dominant Wind Direction (°),Shortwave Radiation Sum (MJ/m²),Reference Evapotranspiration (mm)
An Giang,2021-04-02,61,34.7,26.2,39.7,31.7,2021-04-02T05:55,2021-04-02T18:09,44054.44,41597.62,,,3.0,3.0,0.0,0.0,4.0,,14.5,36.4,212,19.65,4.9
An Giang,2021-04-03,63,33.3,24.9,38.3,29.4,2021-04-03T05:55,2021-04-03T18:09,44089.18,20740.95,,,7.8,7.8,0.0,0.0,9.0,,15.1,28.4,102,14.76,3.8
An Giang,2021-04-04,65,31.9,25.2,37.9,30.7,2021-04-04T05:54,2021-04-04T18:09,44123.91,31129.0,,,25.9,25.9,0.0,0.0,13.0,,14.8,32.0,150,15.75,3.39
An Giang,2021-04-05,51,33.5,23.8,38.2,28.9,2021-04-05T05:53,2021-04-05T18:09,44158.63,41697.11,,,0.2,0.2,0.0,0.0,2.0,,15.9,40.7,107,22.47,5.43
An Giang,2021-04-06,51,33.7,25.0,36.3,28.7,2021-04-06T05:53,2021-04-06T18:09,44193.31,41730.04,,,0.1,0.1,0.0,0.0,1.0,,22.5,44.6,115,22.68,5.94
An Giang,2021-04-07,3,33.1,24.1,37.0,28.5,2021-04-07T05:52,2021-04-07T18:09,44227.92,41762.83,,,0.0,0.0,0.0,0.0,0.0,,15.3,35.3,122,21.4,5.27
An Giang,2021-04-08,51,32.1,25.0,37.2,30.1,2021-04-08T05:52,2021-04-08T18:09,44262.45,41795.44,,,0.3,0.3,0.0,0.0,2.0,,11.8,28.4,167,18.96,4.44
An Giang,2021-04-09,61,32.5,24.6,37.5,29.8,2021-04-09T05:51,2021-04-09T18:09,44296.86,39594.12,,,5.8,5.8,0.0,0.0,14.0,,9.7,27.0,168,19.65,4.31
An Giang,2021-04-10,61,33.5,23.9,36.0,29.4,2021-04-10T05:51,2021-04-10T18:09,44331.14,39863.54,,,4.6,4.6,0.0,0.0,8.0,,16.2,36.4,114,22.1,5.54
An Giang,2021-04-11,55,33.2,25.5,37.1,30.3,2021-04-11T05:50,2021-04-11T18:09,44365.25,40833.71,,,2.0,2.0,0.0,0.0,5.0,,17.8,42.8,109,21.57,5.34
